"Id";"Data transakcji / wyceny";"Województwo";"Powiat";"Gmina";"Miejscowość";"Dzielnica";"Obręb geodezyjny";"Arkusz mapy";"Ulica";"Nr domu";"Nr lokalu";"Powierzchnia użytkowa (m2)";"Cena";"Cena m2 p.u.";"Cena z uwzględnieniem miejsca postojowego";"Cena m2 p.u. z uwzględnieniem miejsca postojowego";"Kondygnacja lokalu";"Liczba kondygnacji";"Liczba izb";"Rok budowy";"Rodzaj budynku";"Stan prawny lokalu";"Stan prawny gruntu";"Źródło informacji";"Opis";"Konstrukcja budynku";"Cena brutto";"Cena brutto m2 p.u.";"Cena brutto z uwzględnieniem miejsca postojowego";"Cena brutto m2 p.u. z uwzględnieniem miejsca postojowego";"Nr KW";"Sąd wieczystoksięgowy";"Nr aktu notarialnego";"Źródło danych do wpisu";"Sprzedający";"Kupujący";"Pomieszczenia przynależne - ilość";"Pomieszczenie przynależne - opis";"Cena p. przynależnego zawarta w cenie transakcyjnej";"Pomieszczenia przynależne - Cena za sztukę";"Liczba miejsc postojowych";"Rodzaj miejsca postojowego";"Cena m. postojowego zawarta w cenie transakcyjnej";"M. postojowe - Cena za sztukę";"Pomieszczenia inne przynależne";"Pozostałe obiekty";"Funkcjonalność lokalu";"Standard lokalu";"Powierzchnia użytkowa budynku";"Standard techniczny budynku";"Modernizowany w ostatnich 5 latach";"Ekspozycja lokalu";"Winda";"Kod pocztowy";"Osiedle";"Strefa miasta";"Otoczenie";"Dostępność komunikacyjna";"Źródło ceny";"Cena (waluta)";"Waluta";"Kurs waluty z dn. transakcji";"Stan prawny budynku";"Dział III KW lokalu";"Dział III KW gruntu";"Wartość rynkowa";"Wartość odtworzeniowa";"Stawka VAT";"M. postojowe - Stawka VAT";"Data utworzenia";"Data modyfikacji";"Wpisana przez";"Modyfikowana przez";"Świadectwo charakterystyki energetycznej";"Nr św. ch. energetycznej";"Wskaźnik zapotrzebowania na energię pierwotną (EP)";"Wskaźnik zapotrzebowania na energię pierwotną (EK)";"Numer działki";"Pole powierzchni gruntu"
"";"2016-03-16";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Psie Pole (59)";"14";"ul. BOLESŁAWA KRZYWOUSTEGO ";"292 ";"U1A";"44.22";"";"";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Przetarg (w przypadku transakcji przetargowych)";";parter, 2 pomieszczenia, wc
;Obręb: 0059 - Psie Pole, Ark.: 14, Nr dz.: 67/7 ;ksiega gruntowa:WR1K/00214541/7";"";"";"";"";"";"WR1K/00343344/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"1242/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67/7 ";"242"
"";"2016-03-01";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Południe (22)";"9";"ul. GEN. ROMUALDA TRAUGUTTA ";"71 ";"8-10";"169.68";"";"";"";"";"";"";"7";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Przetarg (w przypadku transakcji przetargowych)";"b.d.;Lokal położony na IIp., składa się z 5 pokoi, 2 kuchni, łazienki z wc, wc i 2 przedpokoi
;Obręb: 0022 - Południe, Ark.: 9, Nr dz.: 25 ;ksiega gruntowa:";"";"";"";"";"";"WR1K/00062902/5";"Sąd Rejonowy dla Wrocławia - Krzyków";"855/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 ";"404"
"";"2016-03-04";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"14";"ul. GRABISZYNSKA ";"124a ";"U1";"22.28";"";"";"";"";"";"";"1";"";"";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Przetarg (w przypadku transakcji przetargowych)";"cena IokaIu - 92% ceny osiągniętej w przetargu
1;parter, pomieszczenie użytkowe,korytarz, wc
;Obręb: 0028 - Grabiszyn, Ark.: 14, Nr dz.: 2/28 ;ksiega gruntowa:WR1K/00066624/0";"";"";"";"";"";"WR1K/00342817/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"566/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/28 ";"160"
"";"2016-02-29";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Muchobór Wielki (38)";"6";"ul. GRANICZNA ";"2ee-2eh ";"GWB-P51";"";"16666.67";"";"";"";"";"";"0";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"cena ogółem - brutto;miejsce postojowe nr 51 w garażu wielostanowiskowym położony na -1 kondygnacji
;Obręb: 0038 - Muchobór Wielki, Ark.: 6, Nr dz.: 69/7 ;ksiega gruntowa:WR1K/00304363/3";"";"18000.0";"";"";"";"WR1K/00339154/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"19276/2016";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69/7 ";"8798"
"";"2016-02-29";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Muchobór Wielki (38)";"6";"ul. GRANICZNA ";"2ee-2eh ";"GWB-P60";"";"23148.15";"";"";"";"";"";"0";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"cena ogółem - brutto;miejsce postojowe nr 60 w garażu wielostanowiskowym położony na -1 kondygnacji
;Obręb: 0038 - Muchobór Wielki, Ark.: 6, Nr dz.: 69/7 ;ksiega gruntowa:WR1K/00304363/3";"";"25000.0";"";"";"";"WR1K/00339154/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"19204/2016";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69/7 ";"8798"
"";"2016-05-04";"dolnośląskie";"Wrocław";"Wrocław-Śródmieście (delegatura)";"Wrocław-Śródmieście";"Śródmieście";"Plac Grunwaldzki (05)";"28";"ul. GRUNWALDZKA ";"13 ";"6";"23.9";"190000";"7949.79";"";"";"";"";"2";"";"jednorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";";1 piętro,1 pokój,kuchnia,łazienka,piwnica
;Obręb: 0005 - Plac Grunwaldzki, Ark.: 28, Nr dz.: 81/2 ;ksiega gruntowa:WR1K/00102546/4";"";"190000";"7949.79";"";"";"WR1K/00118192/2";"Sąd Rejonowy dla Wrocławia - Krzyków";"1047/2016";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"81/2 ";"210"
"";"2016-04-07";"dolnośląskie";"Wrocław";"Wrocław-Śródmieście (delegatura)";"Wrocław-Śródmieście";"Śródmieście";"Plac Grunwaldzki (05)";"15";"ul. HENRYKA SIENKIEWICZA ";"112 ";"3";"119.25";"";"";"";"";"";"";"5";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Przetarg (w przypadku transakcji przetargowych)";";2 kondygnacja, 4 pokoje. kuchnia, łazienka z WC, przedpokój, garderoba
;Obręb: 0005 - Plac Grunwaldzki, Ark.: 15, Nr dz.: 126 ;ksiega gruntowa:WR1K/00068485/7";"";"";"";"";"";"WR1K/00344312/3";"Sąd Rejonowy dla Wrocławia - Krzyków";"6303/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"126 ";"260"
"";"2016-04-06";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Oporów (40)";"10";"ul. HONORIUSZA BALZAKA ";"41-43 ";"U";"92.1";"";"";"";"";"";"";"0";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Przetarg (w przypadku transakcji przetargowych)";"netto;IKOndygnacja zerowa, IokaI niemieszkalny, użytkowy, kotłownia, skład opału, wc,
natyski wraz z pomieszczeniem przynależnym.
;Obręb: 0040 - Oporów, Ark.: 10, Nr dz.: 12/12 ;ksiega gruntowa:WR1K/00095251/6";"";"";"";"";"";"WR1K/00288167/0";"Sąd Rejonowy dla Wrocławia - Krzyków";"805/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12/12 ";"343"
"";"2016-02-18";"dolnośląskie";"Wrocław";"Wrocław-Śródmieście (delegatura)";"Wrocław-Śródmieście";"Śródmieście";"Plac Grunwaldzki (05)";"18";"ul. KAZIMIERZA JAGIELLONCZYKA ";"44a ";"G4";"15.5";"20000";"1290.32";"";"";"";"";"0";"";"";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Umowa ostateczna sprzedaży rynek wtórny";";;Obręb: 0005 - Plac Grunwaldzki, Ark.: 18, Nr dz.:  162/17;ksiega gruntowa:KW124460";"";"20000";"1290.32";"";"";"WR1K/00132282/4";"Sąd Rejonowy dla Wrocławia - Krzyków";"542/2016";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" 162/17";"156"
"";"2016-02-24";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Krzyki (16)";"10";"ul. KRZYCKA ";"95-101 ";"GW-P28";"14.72";"15740.74";"1069.34";"";"";"";"";"0";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"cena ogółem - brutto;miejsce postojowe nr 28 w garażu wieIostanowiskowym położony na -1 kondygnacji
;Obręb: 0016 - Krzyki, Ark.: 10, Nr dz.: 221 ;ksiega gruntowa:WR1K/00265595/2";"";"17000.0";"1154.89";"";"";"WR1K/00340997/0";"Sąd Rejonowy dla Wrocławia - Krzyków";"4695/2016";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"221 ";"3531"
"";"2016-02-16";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Krzyki (16)";"10";"ul. KRZYCKA ";"97 ";"2";"46.12";"232171.3";"5034.07";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"cena ogółem - brutto;parter, 2 pokoje w tym 1 z aneksem kuchennym, łazienka, garderoba, przedpokój
;Obręb: 0016 - Krzyki, Ark.: 10, Nr dz.: 221 ;ksiega gruntowa:WR1K/00265595/2";"";"250745.0";"5436.8";"";"";"WR1K/00342239/3";"Sąd Rejonowy dla Wrocławia - Krzyków";"4021/2016";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"221 ";"3531"
"";"2016-03-10";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"42";"ul. RYMARSKA ";"50 ";"GWMP53";"";"21296.3";"";"";"";"";"";"0";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;;Obręb: 0028 - Grabiszyn, Ark.: 42, Nr dz.: 5/6 ;ksiega gruntowa:WR1K/00286182/7";"";"23000.0";"";"";"";"WR1K/00338886/2";"Sąd Rejonowy dla Wrocławia - Krzyków";"4428/2016";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5/6 ";"7850"
"";"2016-02-16";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"42";"ul. RYMARSKA ";"5% ";"2";"";"23148.15";"";"";"";"";"";"0";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"BRUTTO;;Obręb: 0028 - Grabiszyn, Ark.: 42, Nr dz.: 5/6 ;ksiega gruntowa:WR1K/00286182/7";"";"25000.0";"";"";"";"WR1K/00338886/2";"Sąd Rejonowy dla Wrocławia - Krzyków";"2671/2016";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5/6 ";"7850"
"";"2016-03-11";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"18";"ul. STALOWOWOLSKA ";"4 ";"5";"88.1";"";"";"";"";"";"";"5";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Przetarg (w przypadku transakcji przetargowych)";"opłata roczna brutto za uw gruntu 1128.402ł;II piętro, 4 pokoje, kuchnia, łazienka, przedpokój
;Obręb: 0028 - Grabiszyn, Ark.: 18, Nr dz.: 19/24 ;ksiega gruntowa:KW73018";"";"";"";"";"";"WR1K/00343059/4";"Sąd Rejonowy dla Wrocławia - Krzyków";"1288/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19/24 ";"284"
"";"2016-03-25";"dolnośląskie";"Wrocław";"Wrocław-Śródmieście (delegatura)";"Wrocław-Śródmieście";"Śródmieście";"Plac Grunwaldzki (05)";"18";"ul. ŚW. WINCENTEGO ";"4 ";"";"24.57";"";"";"";"";"";"";"1";"";"";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Przetarg (w przypadku transakcji przetargowych)";";parter,1 pom.użytk, węzeł sanitarny
;Obręb: 0005 - Plac Grunwaldzki, Ark.: 18, Nr dz.: 12/2 ;ksiega gruntowa:WR1K/00070104/0";"";"";"";"";"";"WR1K/00343878/1";"Sąd Rejonowy dla Wrocławia - Krzyków";"6852/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12/2 ";"235"
"";"2016-03-18";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Poświętne (58)";"12";"ul. TOROWA ";"6 ";"12";"50.73";"273500";"5391.29";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Umowa ostateczna sprzedaży rynek wtórny";";2 kodygnacja, 2 pokoje, kuchnia z przedpokojem, wc, łazienka
;Obręb: 0058 - Poświętne, Ark.: 12, Nr dz.: 17/6,17/7 ;ksiega gruntowa:WR1K/00173610/2";"";"273500";"5391.29";"";"";"WR1K/00194843/7";"Sąd Rejonowy dla Wrocławia - Krzyków";"4211/2016";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17/6,17/7 ";"2372"
"";"2016-02-24";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Południe (22)";"33";"ul. WANDY ";"21 ";"13";"36.41";"";"";"";"";"";"";"2";"";"";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Przetarg (w przypadku transakcji przetargowych)";";Lokal położony na IVp., składa się z 1 pokoju, kuchni, łazienki z wc i przedpokoju oraz
spiżarki
;Obręb: 0022 - Południe, Ark.: 33, Nr dz.: 64 ;ksiega gruntowa:";"";"";"";"";"";"WR1K/00053265/1";"Sąd Rejonowy dla Wrocławia - Krzyków";"2689/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64 ";"195"
"";"2016-05-20";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Grabiszyn (28)";"17";"ul. WRÓBLA ";"47 ";"8";"49.45";"245000";"4954.5";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";";III piętro, 3 pokoje, kuchnai, łazienka, przedpokój, piwnica o pow.4.50 m2
;Obręb: 0028 - Grabiszyn, Ark.: 17, Nr dz.: 7/1 ;ksiega gruntowa:WR1K/00120771/2";"";"245000";"4954.5";"";"";"WR1K/00136538/2";"Sąd Rejonowy dla Wrocławia - Krzyków";"1238/2016";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7/1 ";"12595"
"";"2016-02-24";"dolnośląskie";"Wrocław";"Wrocław-Stare Miasto (delegatura)";"Wrocław-Stare Miasto";"Stare Miasto";"Stare Miasto (01)";"31";"ul. ŻYTNIA ";"18 ";"U1";"14.04";"";"";"";"";"";"";"1";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Przetarg (w przypadku transakcji przetargowych)";"opłata roczna za ww.brutto,cena za lokal-bd;parter,1 pomieszczenie
Zlecenie nr: ZKK17.TE.6621.6709.2016
Sporządził(a): Anna Ziemiańska
Sprawdził(a):
;Obręb: 0001 - Stare Miasto, Ark.: 31, Nr dz.: 8/1 ;ksiega gruntowa:";"";"";"";"";"";"WR1K/00055947/0";"Sąd Rejonowy dla Wrocławia - Krzyków";"4626/2016";"RCiWN";"gmina";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8/1 ";"272"
